1	3 6 8 
2	10 
3	12 
4	1 
5	2 
6	14 
7	3 
8	12 
9	9 
10	11 
11	8 
12	11 
13	1 7 9 
14	14 
15	7 
16	12 
17	16 
18	1 6 9 
19	14 
20	14 
21	15 
22	12 
23	16 
24	11 
25	8 
26	1 
27	5 
28	11 
29	2 
30	4 
31	16 
32	3 
33	1 2 11 
34	12 
35	9 14 16 
36	1 
37	9 
38	9 10 15 
39	7 
40	7 
41	3 
42	1 10 13 
43	3 
44	4 
45	6 
46	2 
47	4 
48	8 
49	15 
50	10 
51	2 9 11 
52	1 
53	4 
54	4 
55	13 
56	5 8 14 
57	16 
58	13 
59	14 
60	4 
61	5 
62	15 
63	3 
64	15 
65	2 
66	11 
67	10 
68	3 
69	7 
70	11 
71	15 
72	2 
73	3 
74	9 
75	5 
76	12 
77	6 
78	1 2 15 
79	16 
80	16 
81	15 
82	6 
83	7 
84	12 
85	2 
86	13 
87	6 
88	4 
89	13 
90	15 
91	4 13 16 
92	2 
93	13 
94	14 
95	9 
96	13 
97	2 
98	13 
99	10 
100	10 
101	13 
102	8 
103	5 
104	8 
105	8 
106	10 
107	6 
108	10 
109	6 
110	8 
111	9 
112	11 14 15 
113	16 
114	7 
115	2 
116	14 
117	9 
118	7 
119	2 11 15 
120	16 
121	11 
122	9 
123	3 5 8 
124	16 
125	6 8 10 
126	6 
127	13 
128	6 7 13 
129	4 8 11 
130	1 
131	11 
132	1 
133	6 
134	1 
135	9 
136	1 
137	4 12 16 
138	7 8 15 
139	3 12 13 
140	7 9 14 
141	5 6 8 
142	5 13 16 
143	6 8 14 
144	1 
145	1 2 7 
146	5 9 14 
147	3 6 12 
148	2 11 15 
149	1 7 14 
150	5 6 10 
