1	9 
2	10 
3	5 11 
4	6 
5	5 
6	7 
7	9 
8	4 
9	6 
10	1 
11	1 9 
12	9 
13	1 
14	1 
15	11 
16	10 
17	4 7 
18	5 
19	6 
20	8 
21	10 
22	10 
23	1 2 
24	11 
25	8 
26	4 
27	8 
28	8 
29	6 
30	6 
31	8 
32	2 10 
33	11 
34	3 9 
35	3 
36	4 
37	6 8 
38	6 
39	3 
40	8 11 
41	7 
42	4 11 
43	8 
44	1 
45	9 
46	4 
47	9 
48	9 
49	2 7 
50	3 
51	10 
52	9 
53	4 
54	3 
55	8 
56	1 
57	5 
58	2 
59	3 5 
60	8 
61	7 
62	7 
63	9 
64	7 
65	1 
66	1 
67	1 
68	2 
69	5 
70	11 
71	5 
72	11 
73	1 
74	11 
75	8 
76	9 
77	5 
78	1 2 
79	5 
80	6 11 
81	5 
82	11 
83	8 
84	3 9 
85	1 
86	9 
87	6 
88	11 
89	11 
90	2 4 
91	1 10 
92	2 11 
93	4 9 
94	8 
95	1 
96	6 7 
97	8 
98	8 
99	11 
100	4 9 
