1	5 11 16 
2	12 
3	9 
4	4 
5	16 
6	2 
7	18 
8	17 
9	12 
10	10 
11	15 
12	16 
13	10 
14	14 
15	7 
16	9 
17	9 
18	1 
19	15 
20	6 
21	14 
22	20 
23	5 
24	20 
25	14 
26	19 
27	14 
28	12 
29	6 
30	8 
31	16 
32	3 
33	21 
34	21 
35	4 
36	4 
37	4 
38	8 
39	3 
40	7 
41	16 
42	6 
43	19 
44	11 
45	13 
46	5 
47	14 
48	12 
49	20 
50	14 
51	4 
52	13 
53	17 
54	4 
55	7 
56	2 
57	9 
58	14 
59	16 
60	20 
61	12 
62	6 
63	3 
64	20 
65	15 
66	3 
67	12 
68	15 
69	20 
70	5 
71	21 
72	20 
73	12 
74	19 
75	13 
76	17 
77	12 
78	10 
79	17 
80	6 
81	13 
82	17 
83	10 
84	13 
85	17 
86	16 
87	21 
88	10 11 15 
89	17 
90	6 
91	8 
92	11 
93	13 
94	18 
95	18 
96	8 13 19 
97	18 
98	11 
99	10 13 20 
100	15 
101	12 
102	13 
103	13 
104	18 
105	15 
106	17 
107	5 
108	16 
109	5 11 17 
110	3 18 19 
111	5 8 19 
112	11 
113	7 8 20 
114	21 
115	13 
116	19 
117	6 
118	19 
119	5 11 17 
120	6 
121	15 
122	5 11 21 
123	13 
124	2 16 20 
125	21 
126	21 
127	21 
128	15 
129	21 
130	15 19 21 
131	21 
132	21 
133	4 8 21 
134	1 3 7 
135	6 7 9 
136	1 2 9 
137	3 5 13 
138	8 10 17 
139	11 15 16 
140	6 11 18 
141	2 10 12 
142	1 2 18 
143	1 3 15 
144	2 3 16 
145	1 7 15 
146	1 2 18 
147	5 6 9 
148	6 10 19 
149	1 8 19 
150	2 18 19 
