1	14 
2	6 
3	2 
4	9 
5	2 
6	14 
7	3 
8	11 
9	15 
10	14 
11	5 
12	3 
13	10 
14	10 
15	2 
16	8 
17	13 
18	1 7 
19	5 
20	2 
21	14 
22	9 
23	2 
24	5 
25	10 
26	9 
27	12 
28	12 
29	13 
30	3 
31	3 
32	8 
33	8 
34	14 
35	15 
36	7 
37	6 11 
38	2 
39	12 
40	1 
41	9 
42	6 14 
43	6 
44	1 
45	1 
46	1 
47	8 
48	5 
49	7 
50	10 
51	1 
52	3 
53	6 
54	6 
55	12 
56	6 
57	10 
58	14 
59	3 
60	4 
61	6 
62	6 
63	14 
64	13 
65	7 
66	7 
67	8 
68	9 
69	6 
70	4 5 
71	1 
72	11 15 
73	9 13 
74	1 
75	3 15 
76	4 
77	6 
78	4 
79	7 
80	3 15 
81	7 
82	4 
83	4 13 
84	1 10 
85	7 
86	13 15 
87	11 13 
88	3 
89	12 14 
90	8 14 
91	9 12 
92	1 
93	1 
94	4 15 
95	1 4 
96	2 14 
97	1 
98	7 8 
99	1 
100	3 4 
