degree distribution (probability density function of the degree in logarithmic bins) 
3	0.0400297
4	0.377463
5	0.20173
6	0.129697
7	0.120446
8	0.10325
9.625	0.0544676
11.1429	0.040855
13	0.0200127
14	0.0128667

degree distribution (degree-occurrences) 
3	0.02
4	0.22
5	0.16
6	0.12
7	0.13
8	0.13
9	0.03
10	0.05
11	0.06
12	0.01
13	0.04
14	0.03


--------------------------------------
community distribution (size-occurrences)
5	0.0833333
6	0.166667
8	0.166667
9	0.0833333
11	0.166667
13	0.0833333
14	0.166667
15	0.0833333


--------------------------------------
mixing parameter
0	0.4
0.0714286	0.03
0.0785256	0.04
0.0909091	0.05
0.104444	0.05
0.125	0.07
0.142857	0.08
0.153846	0.01
0.166667	0.07
0.181818	0.01
0.2	0.09
0.25	0.1

--------------------------------------
