67	9	1
15	91	2
3	33	2
55	71	2
55	77	2
56	6	2
75	77	2
55	56	2
33	71	2
56	75	2
55	75	2
71	77	2
3	56	2
33	75	2
15	77	2
15	56	2
71	75	2
3	75	2
33	55	2
3	71	2
55	91	2
75	91	2
15	33	2
6	71	2
71	91	2
56	91	2
7	76	3
85	9	4
14	59	5
17	52	6
38	50	6
21	52	6
16	52	6
38	52	6
61	70	6
16	50	6
17	70	6
21	70	6
16	70	6
38	70	6
50	70	6
17	61	6
21	61	6
16	61	6
52	70	6
38	61	6
52	61	6
17	38	6
42	78	7
84	86	8
53	72	9
9	94	10
100	66	10
100	98	10
49	78	10
77	90	10
20	83	10
100	58	10
63	90	10
58	83	10
88	98	10
13	96	10
51	63	10
43	94	10
76	90	10
7	94	10
45	86	10
25	84	10
78	88	10
86	96	10
41	78	10
65	78	10
44	66	10
80	90	10
81	98	10
44	58	10
48	96	10
18	90	10
41	88	10
65	88	10
66	83	10
41	81	10
65	81	10
94	98	10
25	88	10
22	88	10
5	98	10
25	81	10
11	5	10
13	86	10
100	44	10
20	74	10
19	83	10
77	96	10
78	94	10
63	96	10
7	98	10
43	65	10
100	20	10
100	83	10
48	80	10
1	5	10
22	43	10
81	84	10
76	86	10
76	96	10
78	81	10
23	80	10
41	94	10
65	94	10
48	86	10
43	9	10
20	58	10
25	94	10
1	100	10
58	66	10
58	98	10
83	88	10
96	98	10
13	80	10
80	96	10
84	88	10
1	66	10
50	76	10
76	77	10
100	18	10
81	88	10
77	80	10
18	96	10
50	96	10
49	98	10
13	90	10
63	80	10
11	83	10
44	83	10
18	98	10
65	7	10
51	86	10
51	96	10
88	94	10
76	80	10
63	86	10
78	98	10
86	90	10
100	24	10
1	74	10
45	96	10
43	88	10
100	74	10
48	90	10
100	5	10
41	98	10
83	98	10
100	11	10
23	90	10
84	94	10
81	94	10
84	98	10
48	76	10
19	98	10
90	96	10
80	86	10
12	54	11
35	4	12
82	94	13
34	57	14
64	66	15
100	12	16
69	91	17
59	60	18
22	90	19
59	95	20
100	87	21
11	63	22
53	65	23
54	89	24
84	99	25
68	93	25
2	85	25
42	46	25
68	85	25
2	89	25
34	46	25
93	99	25
68	89	25
27	4	25
34	59	25
27	99	25
59	99	25
24	93	25
27	89	25
44	99	25
2	99	25
85	93	25
42	68	25
34	89	25
68	99	25
46	89	25
24	89	25
89	93	25
93	97	25
36	93	25
4	93	25
42	99	25
34	99	25
84	93	25
46	99	25
24	99	25
36	42	25
36	89	25
36	68	25
85	99	25
4	68	25
84	89	25
27	93	25
59	93	25
46	84	25
89	99	25
36	99	25
2	93	25
22	92	26
39	53	27
39	91	27
23	39	27
67	91	27
53	67	27
28	39	27
53	91	27
12	67	27
12	91	27
28	67	27
28	53	27
28	91	27
23	67	27
39	67	27
45	92	28
29	92	28
72	92	28
54	60	28
74	8	28
60	69	28
14	92	28
54	69	28
29	60	28
40	72	28
8	92	28
14	74	28
69	8	28
29	69	28
74	92	28
40	92	28
51	72	28
40	8	28
69	72	28
72	74	28
60	92	28
51	92	28
54	92	28
69	92	28
14	72	28
29	40	28
40	60	28
54	66	29
85	95	30
87	95	30
32	97	30
73	97	30
87	97	30
6	95	30
10	95	30
30	85	30
6	97	30
19	95	30
32	64	30
45	97	30
10	85	30
10	97	30
73	81	30
10	87	30
19	97	30
37	73	30
37	95	30
95	97	30
45	85	30
37	97	30
37	87	30
30	73	30
49	95	30
64	95	30
32	73	30
30	95	30
49	97	30
64	85	30
64	97	30
49	73	30
64	87	30
32	95	30
30	97	30
37	64	30
73	95	30
47	82	31
31	79	31
26	79	31
47	79	31
82	87	31
35	62	31
62	82	31
31	87	31
31	62	31
26	62	31
35	47	31
79	87	31
57	82	31
62	79	31
47	62	31
57	79	31
26	57	31
57	87	31
47	57	31
35	82	31
31	82	31
26	82	31
79	82	31
35	79	31
